1.0 131.0 20.0
1.0 39.0 0.0
1.0 64.0 12.0
1.0 84.0 2.0
1.0 23.0 18.0
1.0 64.0 0.0
1.0 233.0 15.0
1.0 924.0 41.0
1.0 166.0 11.0
1.0 1374.0 14.0
1.0 343.0 3.0
1.0 177.0 1.0
1.0 139.0 13.0
1.0 12.0 0.0
1.0 46.0 3.0
1.0 188.0 50.0
1.0 28.0 28.0
1.0 87.0 11.0
1.0 29.0 13.0
1.0 54.0 8.0
1.0 73.0 2.0
1.0 40.0 0.0
1.0 272.0 70.0
1.0 302.0 6.0
1.0 199.0 58.0
1.0 412.0 234.0
1.0 97.0 15.0
1.0 35.0 6.0
1.0 181.0 15.0
1.0 659.0 40.0
1.0 449.0 4.0
1.0 135.0 10.0
1.0 36.0 19.0
1.0 71.0 22.0
1.0 34.0 2.0
1.0 190.0 11.0
1.0 152.0 9.0
1.0 105.0 6.0
1.0 9.0 2.0
1.0 157.0 23.0
1.0 73.0 10.0
1.0 2.0 2.0
1.0 406.0 390.0
1.0 101.0 1.0
1.0 47.0 0.0
1.0 134.0 37.0
1.0 99.0 0.0
1.0 147.0 70.0
1.0 6.0 6.0
1.0 43.0 15.0
1.0 132.0 34.0
1.0 59.0 16.0
1.0 14.0 8.0
1.0 224.0 191.0
1.0 50.0 7.0
1.0 10.0 0.0
1.0 123.0 17.0
1.0 68.0 6.0
1.0 1339.0 434.0
1.0 1254.0 338.0
1.0 2136.0 1030.0
1.0 52.0 37.0
1.0 178.0 117.0
1.0 927.0 671.0
1.0 51.0 1.0
1.0 977.0 290.0
1.0 2275.0 469.0
1.0 3679.0 421.0
1.0 1783.0 295.0
1.0 8.0 8.0
1.0 30.0 2.0
1.0 77.0 32.0
1.0 5655.0 633.0
1.0 1796.0 370.0
1.0 1615.0 603.0
1.0 63.0 3.0
1.0 3765.0 334.0
1.0 93.0 8.0
1.0 84.0 4.0
1.0 18.0 6.0
1.0 3126.0 119.0
1.0 4.0 4.0
1.0 46.0 20.0
1.0 24.0 2.0
1.0 103.0 134.0
1.0 147.0 5.0
1.0 71.0 3.0
1.0 94.0 20.0
1.0 339.0 14.0
1.0 102.0 2.0
1.0 275.0 49.0
1.0 669.0 76.0
1.0 34.0 3.0
1.0 33.0 28.0
1.0 4338.0 411.0
1.0 3425.0 560.0
1.0 2398.0 855.0
1.0 10.0 10.0
1.0 137.0 4.0
